"model","failure_category","count"
"arfa-qwen2.5-coder:7b-8k","benchmark_environment_anomaly","5"
"arfa-qwen2.5-coder:7b-8k","command_execution_error","11"
"arfa-qwen2.5-coder:7b-8k","incorrect_command_or_semantics","40"
"arfa-qwen2.5-coder:7b-8k","max_step_exhaustion","44"
"arfa-qwen2.5-coder:7b-8k","premature_termination","39"
"arfa-qwen2.5-coder:7b-8k","repeated_action_loop","9"
"arfa-llama3.1:8b-8k","benchmark_environment_anomaly","5"
"arfa-llama3.1:8b-8k","command_execution_error","18"
"arfa-llama3.1:8b-8k","incorrect_command_or_semantics","26"
"arfa-llama3.1:8b-8k","max_step_exhaustion","9"
"arfa-llama3.1:8b-8k","premature_termination","50"
"arfa-llama3.1:8b-8k","repeated_action_loop","28"
"arfa-llama3.1:8b-8k","response_parse_failure","13"
"arfa-qwen2.5-coder:14b-8k","benchmark_environment_anomaly","5"
"arfa-qwen2.5-coder:14b-8k","command_execution_error","18"
"arfa-qwen2.5-coder:14b-8k","incorrect_command_or_semantics","21"
"arfa-qwen2.5-coder:14b-8k","max_step_exhaustion","13"
"arfa-qwen2.5-coder:14b-8k","premature_termination","61"
"arfa-qwen2.5-coder:14b-8k","repeated_action_loop","2"
"arfa-llama3.2:3b-8k","benchmark_environment_anomaly","5"
"arfa-llama3.2:3b-8k","command_execution_error","19"
"arfa-llama3.2:3b-8k","incorrect_command_or_semantics","19"
"arfa-llama3.2:3b-8k","max_step_exhaustion","27"
"arfa-llama3.2:3b-8k","premature_termination","31"
"arfa-llama3.2:3b-8k","repeated_action_loop","38"
"arfa-llama3.2:3b-8k","response_parse_failure","25"
"arfa-gemma3:4b-8k","benchmark_environment_anomaly","5"
"arfa-gemma3:4b-8k","command_execution_error","18"
"arfa-gemma3:4b-8k","incorrect_command_or_semantics","10"
"arfa-gemma3:4b-8k","max_step_exhaustion","9"
"arfa-gemma3:4b-8k","premature_termination","87"
"arfa-gemma3:4b-8k","repeated_action_loop","12"
"arfa-gemma3:4b-8k","response_parse_failure","7"
"arfa-gemma3:12b-8k","benchmark_environment_anomaly","5"
"arfa-gemma3:12b-8k","command_execution_error","15"
"arfa-gemma3:12b-8k","incorrect_command_or_semantics","28"
"arfa-gemma3:12b-8k","max_step_exhaustion","17"
"arfa-gemma3:12b-8k","model_request_error","1"
"arfa-gemma3:12b-8k","premature_termination","48"
"arfa-gemma3:12b-8k","repeated_action_loop","15"
"arfa-gemma3:12b-8k","response_parse_failure","8"
"arfa-phi4-mini:3.8b-8k","benchmark_environment_anomaly","5"
"arfa-phi4-mini:3.8b-8k","command_execution_error","7"
"arfa-phi4-mini:3.8b-8k","incorrect_command_or_semantics","7"
"arfa-phi4-mini:3.8b-8k","max_step_exhaustion","38"
"arfa-phi4-mini:3.8b-8k","model_request_error","1"
"arfa-phi4-mini:3.8b-8k","premature_termination","108"
"arfa-phi4-mini:3.8b-8k","repeated_action_loop","4"
"arfa-phi4-mini:3.8b-8k","response_parse_failure","5"
"arfa-phi4:14b-8k","benchmark_environment_anomaly","5"
"arfa-phi4:14b-8k","command_execution_error","9"
"arfa-phi4:14b-8k","incorrect_command_or_semantics","11"
"arfa-phi4:14b-8k","max_step_exhaustion","18"
"arfa-phi4:14b-8k","premature_termination","96"
"arfa-phi4:14b-8k","repeated_action_loop","6"
"arfa-phi4:14b-8k","response_parse_failure","4"
