"model","split","task_id","success","model_calls","total_tokens","trace_path","step_id","exit_code","structured_expectation_score","observation_only_raw_score","expectation_quality","action_safety_gate","expectation_safety_gate","shadow_decision","stderr_presence_mismatch","textual_error_contradiction","textual_output_missing","semantic_residual_score","expectation_gate_only_score","raw_full_residual_score","semantic_with_safety_score","structured_with_safety_score","no_expectation_score","full_residual_score","exit_code_mismatch","stdout_presence_mismatch"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-014","False","4","5410","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","1","0","0.0","0.0","0.6666666666666666","0.0","0.0","reason","0","0","0","0.9390436969697475","1.0","0.0","1.0","1.0","0.0","1.0","",""
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-014","False","4","5410","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","2","0","0.0","0.0","0.638888888888889","0.0","0.0","reason","0","0","0","0.9436575993895531","1.0","0.0","1.0","1.0","0.0","1.0","",""
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-014","False","4","5410","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","3","0","0.0","0.0","0.4444444444444444","0.0","1.0","reason","0","0","0","0.9500745944678783","1.0","0.0","1.0","1.0","0.0","1.0","0",""
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-015","False","7","14247","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","1","0","0.0","0.0","0.8888888888888888","0.0","1.0","reason","0","0","0","0.9792553391307592","1.0","0.0","1.0","1.0","0.0","1.0","","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-015","False","7","14247","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","2","0","0.0","0.0","1.0","0.0","0.0","fast_candidate","0","0","0","0.8694116473197937","0.0","0.0","0.8694116473197937","0.0","0.0","0.0","0","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-015","False","7","14247","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","3","2","0.0","1.0","0.6222222222222222","0.0","0.0","reason","","0","0","0.786857396364212","1.0","0.0","1.0","1.0","1.0","1.0","",""
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-015","False","7","14247","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","4","0","0.16666666666666669","0.0","1.0","0.0","0.0","fast_candidate","0","0","0","0.8976683914661407","0.0","0.16666666666666669","0.8976683914661407","0.16666666666666669","0.0","0.16666666666666669","0","1"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-015","False","7","14247","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","5","0","0.0","0.0","1.0","0.0","0.0","fast_candidate","0","0","0","0.8694116473197937","0.0","0.0","0.8694116473197937","0.0","0.0","0.0","0","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-015","False","7","14247","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","6","0","0.0","0.0","1.0","0.0","0.0","fast_candidate","0","0","0","0.8492892980575562","0.0","0.0","0.8492892980575562","0.0","0.0","0.0","0","0"
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-021","False","4","5203","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","1","0","0.0","0.0","0.7777777777777777","0.0","1.0","reason","0","0","0","0.810845673084259","1.0","0.0","1.0","1.0","0.0","1.0","",""
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-021","False","4","5203","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","2","0","0.0","0.0","0.8888888888888888","0.0","0.0","fast_candidate","0","0","0","0.810845673084259","0.0","0.0","0.810845673084259","0.0","0.0","0.0","0",""
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-021","False","4","5203","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","3","0","0.0","0.0","0.8888888888888888","0.0","0.0","fast_candidate","0","0","0","0.8089973330497742","0.0","0.0","0.8089973330497742","0.0","0.0","0.0","0",""
"arfa-llama3.1:8b-8k","shadow_development","intercode-nl2bash-fs1-029","True","5","7387","results/phase1_5_shadow/full/llama3.1-8b/shadow_development/traces.jsonl","1","0","0.0","0.0","0.7777777777777777","0.0","1.0","reason","0","0","0","0.8871739059686661","1.0","0.0","1.0","1.0","0.0","1.0","",""
